STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hhtyp,Type of household,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2018,,56.73,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2020,,58.56,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2021,,70.76,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2022,,89.59,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2023,,83.19,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AL,Albania,2024,,93.15,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2016,,72.48,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2017,,81.14,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2018,,79.03,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2019,,83.54,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2020,,82.55,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2021,,90.39,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2022,,87.67,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2023,,90.50,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2024,,91.49,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,AT,Austria,2025,,91.59,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2018,,45.15,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2019,,60.28,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2020,,46.08,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2021,,62.66,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2023,,63.91,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2024,,61.45,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BA,Bosnia and Herzegovina,2025,,65.79,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2016,,70.10,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2017,,72.68,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2018,,75.31,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2019,,78.20,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2020,,80.63,,,,,
dataflow,ESTAT:ISOC_CI_IN_H(1.0),Households - level of internet access,A,Annual,PC_HH,Percentage of households,A1,Single person,BE,Belgium,2021,,82.93,,,,,
