laureate_id,file_name,gender,known_name,full_name,birth_date,birth_year,birth_country,birth_country_now,birth_continent,birth_location,death_year,prize_count,first_award_year,first_category,first_prize_amount_adjusted,first_motivation,first_affiliation_name,first_affiliation_city,first_award_country,first_award_continent,is_science
745,spence,male,A. Michael Spence,A. Michael Spence,1943-00-00,1943.0,USA,USA,North America,"Montclair, NJ, USA",,1,2001,Economic Sciences,15547541,for their analyses of markets with asymmetric information,Stanford University,"Stanford, CA",USA,North America,1
102,bohr,male,Aage N. Bohr,Aage Niels Bohr,1922-06-19,1922.0,Denmark,Denmark,Europe,"Copenhagen, Denmark",2009.0,1,1975,Physics,4304697,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Niels Bohr Institute,Copenhagen,Denmark,Europe,1
779,ciechanover,male,Aaron Ciechanover,Aaron Ciechanover,1947-10-01,1947.0,British Protectorate of Palestine,Israel,Asia,"Haifa, British Protectorate of Palestine (now Israel)",,1,2004,Chemistry,14874529,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,Israel,Asia,1
259,klug,male,Aaron Klug,Aaron Klug,1926-08-11,1926.0,Lithuania,Lithuania,Europe,"Zelvas, Lithuania",2018.0,1,1982,Chemistry,3923237,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Europe,1
1004,gurnah,male,Abdulrazak Gurnah,Abdulrazak Gurnah,1948-00-00,1948.0,,,,,,1,2021,Literature,12096939,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,,,,,0
114,salam,male,Abdus Salam,Abdus Salam,1926-01-29,1926.0,India,Pakistan,Asia,"Jhang Maghiāna, India (now Pakistan)",1996.0,1,1979,Physics,3778486,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",International Centre for Theoretical Physics,Trieste,Italy,Europe,1
982,banerjee,male,Abhijit Banerjee,Abhijit Banerjee,1961-02-21,1961.0,India,India,Asia,"Mumbai, India",,1,2019,Economic Sciences,11178104,for their experimental approach to alleviating global poverty,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,North America,1
981,abiy,male,Abiy Ahmed Ali,Abiy Ahmed Ali,1976-08-15,1976.0,Ethiopia,Ethiopia,Africa,"Beshasha, Ethiopia",,1,2019,Peace,11178104,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,,,,0
843,yonath,female,Ada E. Yonath,Ada E. Yonath,1939-06-22,1939.0,British Mandate of Palestine,Israel,Asia,"Jerusalem, British Mandate of Palestine (now Israel)",,1,2009,Chemistry,13857393,for studies of the structure and function of the ribosome,Weizmann Institute of Science,Rehovot,Israel,Asia,1
866,riess,male,Adam G. Riess,Adam G. Riess,1969-12-16,1969.0,USA,USA,North America,"Washington, D.C., USA",,1,2011,Physics,13335208,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Johns Hopkins University,"Baltimore, MD",USA,North America,1
