laureate_id,file_name,gender,known_name,full_name,birth_year,award_year,category,prize_amount_adjusted,motivation,affiliation_name,affiliation_city,award_country,award_continent,prize_index,is_science
745,spence,male,A. Michael Spence,A. Michael Spence,1943.0,2001,Economic Sciences,15547541,for their analyses of markets with asymmetric information,Stanford University,"Stanford, CA",USA,North America,1,1
102,bohr,male,Aage N. Bohr,Aage Niels Bohr,1922.0,1975,Physics,4304697,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Niels Bohr Institute,Copenhagen,Denmark,Europe,1,1
779,ciechanover,male,Aaron Ciechanover,Aaron Ciechanover,1947.0,2004,Chemistry,14874529,for the discovery of ubiquitin-mediated protein degradation,Technion - Israel Institute of Technology,Haifa,Israel,Asia,1,1
259,klug,male,Aaron Klug,Aaron Klug,1926.0,1982,Chemistry,3923237,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Europe,1,1
1004,gurnah,male,Abdulrazak Gurnah,Abdulrazak Gurnah,1948.0,2021,Literature,12096939,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,,,,,1,0
114,salam,male,Abdus Salam,Abdus Salam,1926.0,1979,Physics,3778486,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",International Centre for Theoretical Physics,Trieste,Italy,Europe,1,1
982,banerjee,male,Abhijit Banerjee,Abhijit Banerjee,1961.0,2019,Economic Sciences,11178104,for their experimental approach to alleviating global poverty,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,North America,1,1
981,abiy,male,Abiy Ahmed Ali,Abiy Ahmed Ali,1976.0,2019,Peace,11178104,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",,,,,1,0
843,yonath,female,Ada E. Yonath,Ada E. Yonath,1939.0,2009,Chemistry,13857393,for studies of the structure and function of the ribosome,Weizmann Institute of Science,Rehovot,Israel,Asia,1,1
866,riess,male,Adam G. Riess,Adam G. Riess,1969.0,2011,Physics,13335208,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Johns Hopkins University,"Baltimore, MD",USA,North America,1,1
199,butenandt,male,Adolf Butenandt,Adolf Friedrich Johann Butenandt,1903.0,1939,Chemistry,5346318,for his work on sex hormones,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Europe,1,1
164,baeyer,male,Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,1835.0,1905,Chemistry,9629677,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Munich University,Munich,Germany,Europe,1,1
185,windaus,male,Adolf Windaus,Adolf Otto Reinhold Windaus,1876.0,1928,Chemistry,5637915,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,Goettingen University,Göttingen,Germany,Europe,1,1
541,esquivel,male,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,1931.0,1980,Peace,3654081,"for being a source of inspiration to repressed people, especially in Latin America",,,Argentina,South America,1,0
292,zewail,male,Ahmed Zewail,Ahmed H. Zewail,1946.0,1999,Chemistry,12707531,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,California Institute of Technology (Caltech),"Pasadena, CA",USA,North America,1,1
853,suzuki,male,Akira Suzuki,Akira Suzuki,1930.0,2010,Chemistry,13681477,for palladium-catalyzed cross couplings in organic synthesis,Hokkaido University,Sapporo,Japan,Asia,1,1
978,yoshino,male,Akira Yoshino,Akira Yoshino,1948.0,2019,Chemistry,11178104,for the development of lithium-ion batteries,Asahi Kasei Corporation,Tokyo,Japan,Asia,1,1
819,gore,male,Al Gore,Albert Arnold (Al) Gore  Jr.,1948.0,2007,Peace,14291742,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,,USA,North America,1,0
1012,aspect,male,Alain Aspect,Alain Aspect,1947.0,2022,Physics,11162900,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,Europe,1,1
729,heeger,male,Alan Heeger,Alan J. Heeger,1936.0,2000,Chemistry,14331095,for the discovery and development of conductive polymers,University of California,"Santa Barbara, CA",USA,North America,1,1
376,hodgkin,male,Alan Hodgkin,Alan Lloyd Hodgkin,1914.0,1963,Physiology or Medicine,3590371,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,University of Cambridge,Cambridge,United Kingdom,Europe,1,1
730,macdiarmid,male,Alan MacDiarmid,Alan G. MacDiarmid,1927.0,2000,Chemistry,14331095,for the discovery and development of conductive polymers,University of Pennsylvania,"Philadelphia, PA",USA,North America,1,1
11,michelson,male,Albert A. Michelson,Albert Abraham Michelson,1852.0,1907,Physics,8894198,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,University of Chicago,"Chicago, IL",USA,North America,1,1
628,camus,male,Albert Camus,Albert Camus,1913.0,1957,Literature,3411444,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",,,France,Europe,1,0
403,claude,male,Albert Claude,Albert Claude,1898.0,1974,Physiology or Medicine,4126741,for their discoveries concerning the structural and functional organization of the cell,Université Catholique de Louvain,Louvain,Belgium,Europe,1,1
